Date,Open,High,Low,Close,Adj Close,Volume
2022-01-12,817.799988,825.349976,814.049988,824.099976,824.099976,248487
2022-01-13,820.000000,827.799988,817.400024,824.400024,824.400024,297679
2022-01-14,824.000000,824.000000,811.549988,820.200012,820.200012,166152
2022-01-17,819.349976,828.700012,814.500000,819.400024,819.400024,282455
2022-01-18,821.000000,836.000000,818.250000,823.349976,823.349976,469894
2022-01-19,818.200012,820.799988,803.250000,808.349976,808.349976,493232
2022-01-20,806.000000,812.500000,796.799988,809.950012,809.950012,270140
2022-01-21,806.500000,811.349976,795.549988,804.599976,804.599976,352128
2022-01-24,818.799988,818.799988,782.700012,798.200012,798.200012,1190559
2022-01-25,790.000000,804.549988,786.250000,801.549988,801.549988,559722
2022-01-27,790.000000,801.400024,781.299988,794.000000,794.000000,490178
2022-01-28,818.000000,818.000000,778.799988,781.099976,781.099976,359230
2022-01-31,789.000000,798.400024,783.950012,789.250000,789.250000,220452
2022-02-01,800.000000,812.549988,789.299988,809.900024,809.900024,941086
2022-02-02,814.750000,818.700012,808.950012,813.799988,813.799988,601506
2022-02-03,813.049988,818.349976,806.000000,808.849976,808.849976,268577
2022-02-04,808.849976,812.000000,796.000000,804.950012,804.950012,357888
2022-02-07,803.000000,804.900024,781.500000,786.349976,786.349976,3463182
2022-02-08,787.299988,795.500000,774.349976,792.700012,792.700012,461767
2022-02-09,795.549988,804.000000,794.250000,802.700012,802.700012,434985
2022-02-10,807.000000,808.950012,796.400024,805.250000,805.250000,425597
2022-02-11,796.400024,797.349976,788.049988,791.049988,791.049988,166884
2022-02-14,750.099976,772.000000,750.099976,753.650024,753.650024,895582
2022-02-15,754.000000,777.900024,743.599976,776.150024,776.150024,563296
2022-02-16,775.900024,777.599976,760.299988,765.349976,765.349976,475763
2022-02-17,767.400024,767.400024,746.400024,750.049988,750.049988,764765
2022-02-18,745.000000,756.650024,745.000000,749.549988,749.549988,448746
2022-02-21,743.349976,762.849976,739.799988,754.299988,754.299988,563415
2022-02-22,741.000000,759.599976,737.549988,751.400024,751.400024,405829
2022-02-23,754.150024,756.549988,742.799988,744.700012,744.700012,581654
